task_id,model_id,topic_no,task,answer
0,1,7,country musician island capital school,musician
1,1,4,hockey february science ff align,science
2,1,5,actor falls politician air german,falls
3,1,6,water purple church december transmission,transmission
4,2,3,germany light example microsoft theory,germany
5,2,8,music league actress written scottish,scottish
6,2,1,rgb microsoft director mast transmission,director
7,2,0,president catholic republic spanish government,republic
8,2,9,right think metal released players,right
9,3,2,left band align book disease,band
